Business_ID,Cuisine_Type,Number_of_Reviews,Rating
_BL1-CT06HGkiA3jcucu2Q,Chinese,31,2.5
24zawWdBJLwm6lsqLDqfHQ,Korean,33,2.5
24zawWdBJLwm6lsqLDqfHQ,Korean,33,2.5
y8Z9Tos6qtDVd0X0QVm70g,Chinese,34,2.5
y8Z9Tos6qtDVd0X0QVm70g,Chinese,34,2.5
mbistxggGb_YbNCNwAW1AQ,Chinese,37,2.5
mbistxggGb_YbNCNwAW1AQ,Chinese,37,2.5
TxaxeiUqQqcFrWrerNqgXw,Chinese,39,2.5
TxaxeiUqQqcFrWrerNqgXw,Chinese,39,2.5
pD0BuDTrnya7t4S5nm_5Vw,Mexican,46,2.5
pD0BuDTrnya7t4S5nm_5Vw,Mexican,46,2.5
j9LAlbSiqGlvfAOt8LRRzQ,Chinese,52,2.5
XtuJ1t5EI1QHxs7rZOPytA,Korean,52,2.5
j9LAlbSiqGlvfAOt8LRRzQ,Chinese,52,2.5
XtuJ1t5EI1QHxs7rZOPytA,Korean,52,2.5
rHA9M0XOJL6O11xaEiDurA,Chinese,53,2.5
aGmsJ6_NWw5vnLS43MZLpA,Chinese,53,2.5
9a6I0FhQ-S7wZo4OaLThzw,Mexican,53,2.5
rHA9M0XOJL6O11xaEiDurA,Chinese,53,2.5
aGmsJ6_NWw5vnLS43MZLpA,Chinese,53,2.5
9a6I0FhQ-S7wZo4OaLThzw,Mexican,53,2.5
IQ91FltwJmIPhS6fKKf2pw,Chinese,56,2.5
IQ91FltwJmIPhS6fKKf2pw,Chinese,56,2.5
hQwaJ8ZSI7w-SKreogRkjw,Chinese,57,2.5
hQwaJ8ZSI7w-SKreogRkjw,Chinese,57,2.5
N_VS-BZjyQC7Ta9XDIFxaw,France,58,2.5
N_VS-BZjyQC7Ta9XDIFxaw,France,58,2.5
lZy5TNhzgG53zEjK1N1w1w,Chinese,59,2.5
lZy5TNhzgG53zEjK1N1w1w,Chinese,59,2.5
R9fhVXmtgRwZNgOr-kNWHA,Chinese,60,2.5
R9fhVXmtgRwZNgOr-kNWHA,Korean,60,2.5
R9fhVXmtgRwZNgOr-kNWHA,Chinese,60,2.5
R9fhVXmtgRwZNgOr-kNWHA,Korean,60,2.5
dP6SmZ5E5Nj64-3zZMjGSg,Chinese,62,2.5
dP6SmZ5E5Nj64-3zZMjGSg,Chinese,62,2.5
8b0iC1j499IEmy8a4IVyog,Mexican,63,2.5
8b0iC1j499IEmy8a4IVyog,Mexican,63,2.5
AAPJkyU0Y7Aci0RZBdJONg,Korean,64,2.5
AAPJkyU0Y7Aci0RZBdJONg,Korean,64,2.5
OICgilPNwolv00z7d1Y37w,Mexican,74,2.5
OICgilPNwolv00z7d1Y37w,Mexican,74,2.5
Wt306odjwl9oRhN04IMLNw,Korean,90,2.5
Wt306odjwl9oRhN04IMLNw,Korean,90,2.5
xd_8cHyPO8sjIV8JMojHnw,Chinese,91,2.5
xd_8cHyPO8sjIV8JMojHnw,Chinese,91,2.5
o60py9C4coDw1Ucic_rVTw,Korean,92,2.5
o60py9C4coDw1Ucic_rVTw,Korean,92,2.5
kMZAO0Sc91FrSz7y1JL0XA,Korean,96,2.5
kMZAO0Sc91FrSz7y1JL0XA,Korean,96,2.5
3rCA4ZFJoxCLosUB8CqlbQ,Chinese,108,2.5
3rCA4ZFJoxCLosUB8CqlbQ,Chinese,108,2.5
U0EJ4URMoFHJEzAkMp4WWQ,Chinese,140,2.5
U0EJ4URMoFHJEzAkMp4WWQ,Chinese,140,2.5
lm9LY7UYOhVqS3V9_XRePA,Korean,144,2.5
lm9LY7UYOhVqS3V9_XRePA,Korean,144,2.5
UHlpmHTR6G10rm5m2zaMcA,France,166,2.5
UHlpmHTR6G10rm5m2zaMcA,France,166,2.5
F76RYME8VeIIJDkVCOe0rg,Mexican,197,2.5
F76RYME8VeIIJDkVCOe0rg,Mexican,197,2.5
LYp3izplqg0x-h9CBlb-MQ,Chinese,202,2.5
LYp3izplqg0x-h9CBlb-MQ,Chinese,202,2.5
inp9N7bo9zqQSa8h8UBhqg,Chinese,207,2.5
inp9N7bo9zqQSa8h8UBhqg,Chinese,207,2.5
gNDdRSWiuxdulA-Ajx6zCQ,France,244,2.5
gNDdRSWiuxdulA-Ajx6zCQ,France,244,2.5
FIauc3AaAeDR9u4gMtKmRQ,Mexican,252,2.5
FIauc3AaAeDR9u4gMtKmRQ,Mexican,252,2.5
441p9X0RMR4epB_yOHs73A,Mexican,301,2.5
441p9X0RMR4epB_yOHs73A,Mexican,301,2.5
iV4Qm5DnGChgrnbYG20ASw,Mexican,311,2.5
iV4Qm5DnGChgrnbYG20ASw,Mexican,311,2.5
jrXu38IeCFhHAgR8tI7exg,France,344,2.5
jrXu38IeCFhHAgR8tI7exg,France,344,2.5
0zxGc7hit7mFSk2o1PvIdQ,Italian,397,2.5
0zxGc7hit7mFSk2o1PvIdQ,Italian,397,2.5
wobICp6lQP7Y6dfnJ_4Ujw,Chinese,442,2.5
wobICp6lQP7Y6dfnJ_4Ujw,Chinese,442,2.5
zBORlLYwMqqJ_GOX6K31mw,Mexican,449,2.5
zBORlLYwMqqJ_GOX6K31mw,Mexican,449,2.5
