Business_ID,Cuisine_Type,Number_of_Reviews,Rating,Recommended
44SY464xDHbvOcjDzRbKkQ,Korean,9709,4,1
44SY464xDHbvOcjDzRbKkQ,Korean,9709,4,1
H4jJ7XB3CetIr1pg56CczQ,France,7458,4.5,1
H4jJ7XB3CetIr1pg56CczQ,France,7458,4.5,1
WIhm0W9197f_rRtDziq5qQ,Italian,5826,4,1
WIhm0W9197f_rRtDziq5qQ,Italian,5826,4,1
0CjK3esfpFcxIopebzjFxA,Chinese,5687,4,1
0CjK3esfpFcxIopebzjFxA,Chinese,5687,4,1
4yPqqJDJOQX69gC66YUDkA,American,5294,4,1
4yPqqJDJOQX69gC66YUDkA,American,5294,4,1
a0IET3_yCFcO36OqGSsisg,Italian,5249,4,1
a0IET3_yCFcO36OqGSsisg,Italian,5249,4,1
-134ZvJ4lgiqx-sjRBWQ9g,Korean,5161,4,1
-134ZvJ4lgiqx-sjRBWQ9g,Korean,5161,4,1
UA2M9QFZghe-9th2KwLoWQ,American,4996,4,1
UA2M9QFZghe-9th2KwLoWQ,France,4996,4,1
UA2M9QFZghe-9th2KwLoWQ,American,4996,4,1
UA2M9QFZghe-9th2KwLoWQ,France,4996,4,1
nU4XBdvxDABXqZ6CnB8Dig,American,4603,4,1
nU4XBdvxDABXqZ6CnB8Dig,Mexican,4603,4,1
nU4XBdvxDABXqZ6CnB8Dig,France,4603,4,1
nU4XBdvxDABXqZ6CnB8Dig,American,4603,4,1
nU4XBdvxDABXqZ6CnB8Dig,France,4603,4,1
nU4XBdvxDABXqZ6CnB8Dig,Mexican,4603,4,1
jjJc_CrkB2HodEinB6cWww,Chinese,4140,4,1
jjJc_CrkB2HodEinB6cWww,Chinese,4140,4,1
ga6sRtE0l85iftw_5-W84Q,France,4120,4,1
ga6sRtE0l85iftw_5-W84Q,France,4120,4,1
U5hCNNyJmb7f3dmC1HTzSQ,American,4038,4,1
U5hCNNyJmb7f3dmC1HTzSQ,American,4038,4,1
_tHF8-3rbyMesgdkQzB2yQ,American,3884,3,1
_tHF8-3rbyMesgdkQzB2yQ,France,3884,3,1
nI1UYDCYUTt23TpGxqnLKg,Chinese,3735,4,1
nI1UYDCYUTt23TpGxqnLKg,American,3735,4,1
nI1UYDCYUTt23TpGxqnLKg,Korean,3735,4,1
nI1UYDCYUTt23TpGxqnLKg,American,3735,4,1
nI1UYDCYUTt23TpGxqnLKg,Chinese,3735,4,1
nI1UYDCYUTt23TpGxqnLKg,Korean,3735,4,1
xt4sa64WOrpJvZBDPNPNYg,France,3631,4,1
xt4sa64WOrpJvZBDPNPNYg,France,3631,4,1
xt4sa64WOrpJvZBDPNPNYg,American,3630,4,1
xt4sa64WOrpJvZBDPNPNYg,American,3630,4,1
TN4RnyqHMSupRFot4Q-_EA,Korean,3429,4,1
TN4RnyqHMSupRFot4Q-_EA,Korean,3429,4,1
22nKUyCIbpnzR6R3_g1ptQ,Italian,3325,4,1
22nKUyCIbpnzR6R3_g1ptQ,Italian,3325,4,1
kBZggrnSP1kcUMnsnfkTaQ,Chinese,3320,4,1
kBZggrnSP1kcUMnsnfkTaQ,Chinese,3320,4,1
pfmAcS-g6SiNG0KlLvrqnA,American,3236,4,1
pfmAcS-g6SiNG0KlLvrqnA,American,3236,4,1
NOh24SMS6k4pzNv8Ds7KDg,Mexican,3090,4,1
NOh24SMS6k4pzNv8Ds7KDg,Mexican,3090,4,1
uoT2_Wrt1noD6kZOID7tUg,American,3037,4,1
uoT2_Wrt1noD6kZOID7tUg,American,3037,4,1
t1w4qyqyfEdTPhoy-5t3FA,Korean,2930,4,1
t1w4qyqyfEdTPhoy-5t3FA,Korean,2930,4,1
KgpOYAG-r_eDsQXFXt0nnQ,American,2905,4,1
KgpOYAG-r_eDsQXFXt0nnQ,France,2905,4,1
KgpOYAG-r_eDsQXFXt0nnQ,American,2905,4,1
KgpOYAG-r_eDsQXFXt0nnQ,France,2905,4,1
dMhRafXdr765DHe0k-QfaQ,American,2862,4,1
dMhRafXdr765DHe0k-QfaQ,France,2862,4,1
dMhRafXdr765DHe0k-QfaQ,American,2862,4,1
dMhRafXdr765DHe0k-QfaQ,France,2862,4,1
XzUW9MvEGOFs9_aNj11j2Q,Korean,2829,4,1
Hh9glEE_xDYT_pPUsRPXlA,Mexican,2783,4,1
Hh9glEE_xDYT_pPUsRPXlA,Mexican,2783,4,1
b8a-8u_A51v2IzyjLVsx6w,American,2752,4.5,1
b8a-8u_A51v2IzyjLVsx6w,American,2752,4.5,1
veq1Bl1DW3UWMekZJUsG1Q,American,2731,4.5,1
veq1Bl1DW3UWMekZJUsG1Q,France,2731,4.5,1
veq1Bl1DW3UWMekZJUsG1Q,American,2731,4.5,1
veq1Bl1DW3UWMekZJUsG1Q,France,2731,4.5,1
P4hm-IKNMbBbtfWSvPf25A,American,2715,4,1
P4hm-IKNMbBbtfWSvPf25A,Italian,2715,4,1
P4hm-IKNMbBbtfWSvPf25A,American,2715,4,1
P4hm-IKNMbBbtfWSvPf25A,Italian,2715,4,1
j9TdOBSQ1LRw8v3hW5fObQ,Korean,2702,4,1
jVncyqXwlx_D9f2xZn05tg,France,2675,4.5,1
jVncyqXwlx_D9f2xZn05tg,France,2675,4.5,1
