Business_ID,Cuisine_Type,Name,Address,Coordinates,Number_of_Reviews,Rating,Zipcode
xq0cX_DgxiJMXwhmEl9kUA,Chinese,café-china-new-york-2,"13 E 37th St, New York, NY 10016","(40.7499225208569, -73.9819464127197)",1382,4,10016
wfhMIiMh2A2psCGONOVSlg,Chinese,han-dynasty-new-york,"90 3rd Ave, New York, NY 10003","(40.732072, -73.988074)",1119,4,10003
0dDCDQz7DrKkSvu9h2hcQw,Chinese,chow-house-new-york,"181 Bleecker St, New York, NY 10012","(40.72915, -74.00072)",233,4.5,10012
oowNI_aUmGEFa_VW8BFgRg,Chinese,tri-dim-shanghai-new-york-2,"1378 3rd Ave, New York, NY 10075","(40.77395, -73.95793)",275,4,10075
ojbH3wnRu050hRhkmoxRiA,Chinese,han-dynasty-new-york-4,"215 W 85th St, New York, NY 10024","(40.78752, -73.97647)",513,4,10024
FXhSEZfIqjMZh4hR0_8jMQ,Chinese,china-xiang-中国湘-new-york-2,"360 W 42nd Street, New York, NY 10036","(40.7582902125633, -73.9925113993899)",375,4,10036
v0opDMezc6pKgdfR22KUnQ,Chinese,da-tang-szechuan-new-york,"18 W 38th St, New York, NY 10018","(40.75128, -73.98376)",67,4.5,10018
bVkjBJlAIwKAj9Aw1KVWjA,Chinese,dim-sum-palace-new-york-8,"334 W 46th St, New York, NY 10036","(40.76015, -73.9893699)",980,4,10036
qHi_FA4zSEkFshXQ4Chc9A,Chinese,jiang-diner-new-york,"309 E 5th St, New York, NY 10003","(40.72665, -73.98838)",14,4,10003
lQ8Fzgji9qmgRXkFcvAsVQ,Chinese,chong-qing-xiao-mian-new-york-2,"796 9th Ave, New York, NY 10019","(40.76513, -73.98753)",266,4,10019
xCHApgtkLpEyh0lz-uhZvg,Chinese,szechuan-garden-new-york,"239 W 105th St, New York, NY 10025","(40.8003719688892, -73.9676491308602)",238,4,10025
0k678lCWQyReNi0lARlOmw,Chinese,china-blue-new-york,"135 Watts St, New York, NY 10013","(40.724038, -74.009958)",611,4,10013
sfsjk1h50ooC2ioY7m48gw,Chinese,pig-heaven-new-york-3,"1420 3rd Ave, New York, NY 10028","(40.77544, -73.95686)",258,4,10028
6tASYtO9zOrXr8-LPnAToQ,Chinese,zest-szechuan-new-york,"45 W 39th St, New York, NY 10018","(40.75274, -73.98445)",475,4,10018
mUl0wtO7tPkBocuJqZ-7Dw,Chinese,dun-huang-grand-central-new-york-4,"320 Lexington Ave, New York, NY 10016","(40.74922, -73.97785)",92,4.5,10016
w3wKbjuNCZnYoPOr-FCk5w,Chinese,new-moon-new-york,"536 3rd Ave, New York, NY 10016","(40.74692, -73.97766)",84,4,10016
5YBYGnZtTGJABXC4Jahhzg,Chinese,jasmine-restaurant-new-york,"216 E 49th St, New York, NY 10017","(40.75467, -73.97057)",209,4,10017
scTDvJ2M2jDbb1ntVeIyxA,Chinese,hao-noodle-and-tea-by-madam-zhus-kitchen-new-york,"401 6th Ave, New York, NY 10014","(40.7334863190479, -73.9998929006093)",558,4,10014
